id,city_id,name,pob_total,pob_mas,pob_fem
161,Colima,Ramon Heredia,8,*,*
162,Colima,Santa Elena,3,*,*
163,Colima,Ninguno [Club Cinegetico],1,*,*
164,Colima,Calhidra de Occidente,4,*,*
165,Colima,Las Lomas (Monte Calvario),9,*,*
166,Colima,Monte Verde (Arturo Salazar Puente),2,*,*
167,Colima,El Sauz,2,*,*
168,Colima,Ninguno,6,*,*
169,Colima,El Mil Amores,1,*,*
170,Colima,Las Parotas (Ramos Salido),4,*,*
171,Colima,Naranjal Poniente,2,*,*
172,Colima,Calhidra la Gloria,4,*,*
173,Colima,Los Garcia (El Bordo),14,7,7
174,Colima,El Canario,4,*,*
175,Colima,Ninguno [Caseta Control de Incendios],3,*,*
176,Colima,Ninguno [CECAF AC],4,*,*
177,Colima,La Herradura,6,*,*
178,Colima,El Huerfano,4,*,*
179,Colima,Ignacio Allende (Benigno Perez),5,*,*
180,Colima,Ignacio Carrillo,8,*,*
181,Colima,Lomas de San Jorge,2,*,*
182,Colima,Rancho de Torres,2,*,*
183,Colima,El Mangal (San Miguel del Ojo de Agua),1,*,*
184,Colima,Los Filtros,2,*,*
185,Colima,Jose Verduzco,2,*,*
186,Colima,La Noria,1,*,*
187,Colima,Pablo Luna Silva,1,*,*
188,Colima,Puente Juarez,1,*,*
189,Colima,La Purisima (Enrique Michel),1,*,*
190,Colima,Rancho Blanco,1,*,*
191,Colima,Tiburcio Velasco Valencia,8,*,*
192,Colima,La Trinidad,2,*,*
193,Colima,Carlos Beckman Ochoa,2,*,*
194,Colima,El Milagro,7,*,*
195,Colima,Amador Macias,4,*,*
196,Colima,German Torres,4,*,*
197,Colima,Salitrillos,3,*,*
198,Colima,Salvador Fonseca,2,*,*
199,Colima,San Antonio,7,*,*
200,Colima,San Pablo,4,*,*
201,Colima,Rancho de Bernardo,5,*,*
202,Colima,Santa Azucena (Sergio Verduzco),7,*,*
203,Colima,Tampumachay,4,*,*
204,Colima,Tomas Espiritu,3,*,*
205,Colima,Araceas [Vivero],15,7,8
206,Colima,El Calavero,5,*,*
207,Colima,La Frontera,19,12,7
208,Colima,San Jose,3,*,*
209,Colima,Adelina Andrade,9,*,*
210,Colima,El Aguaje,5,*,*
211,Colima,Alberto Vergara,4,*,*
212,Colima,El Birriero,7,*,*
213,Colima,Carmelitas,1,*,*
214,Colima,Los Novillos (Antonio Perez),4,*,*
215,Colima,Colonia Carlos Vazquez,10,6,4
216,Colima,Colonia las Foras,6,*,*
217,Colima,Colonia los Sauces,23,10,13
218,Colima,El Diecisiete,2,*,*
219,Colima,Dionisio Rolon,14,*,*
220,Colima,Francisco Anguiano,2,*,*
221,Colima,Crucero las Golondrinas [Gasolinera],1,*,*
222,Colima,La Ermita (Guillermo Castaneda),2,*,*
223,Colima,Ignacio Allende,7,*,*
224,Colima,Javier alvarez,1,*,*
225,Colima,Javier el Huarachero,2,*,*
226,Colima,Jesus Rodriguez,1,*,*
227,Colima,Joaquin alvarez,2,*,*
228,Colima,Jose Vega,2,*,*
229,Colima,Juan Vergara,3,*,*
230,Colima,Los Dos Amigos [Restaurante],3,*,*
231,Colima,Huerta Familiar,2,*,*
232,Colima,Manuel Gonzalez,5,*,*
233,Colima,Margarito Barbosa,2,*,*
234,Colima,Mario Morales,1,*,*
235,Colima,El Paraiso (Salvador Cobian),4,*,*
236,Colima,Los Potrillos,6,*,*
237,Colima,Rancho Calderon,5,*,*
238,Colima,Rancho de Andres,1,*,*
239,Colima,Montegrande,9,*,*
240,Colima,Los Tres Cedros,1,*,*
241,Colima,Rancho Viejo,5,*,*
242,Colima,El Rosario,9,*,*
243,Colima,El Salado,2,*,*
244,Colima,Salvador Ruelas,4,*,*
245,Colima,San Antonio,7,*,*
246,Colima,Taxinastla (Rio Naranjo),4,*,*
247,Colima,El Tejado,15,10,5
248,Colima,Salvador Hernandez,5,*,*
249,Colima,Las Lomas,1,*,*
250,Colima,El Mirador,2,*,*
251,Colima,Los Laureles,2,*,*
252,Colima,Linda Vista,2,*,*
253,Colima,angel Macias,1,*,*
254,Colima,Rancho Benjamin,3,*,*
255,Colima,Lupe Morfin,7,*,*
256,Colima,El Tajo,3,*,*
257,Colima,Carmen Villasenor,7,2,5
258,Colima,Eduardo Otero Cervantes,5,*,*
259,Colima,El Sueno de Lety,2,*,*
260,Colima,Florencia Gutierrez Cortes,4,*,*
261,Colima,La Curva,2,*,*
262,Colima,La Palma,5,*,*
263,Colima,La Palmera [Dulceria],4,*,*
264,Colima,La Quinta Blanca,3,*,*
265,Colima,Las Parotas,71,33,38
266,Colima,Los Tres Gallos,6,*,*
267,Colima,La Parota (Rafael Contreras),5,*,*
268,Colima,Antonio Tejeda Olivera,11,*,*
269,Colima,Ninguno [Avicola y Ganadera de Jalisco Dos],8,*,*
270,Colima,Colonia Tierra y Libertad,11,5,6
271,Colima,El Limoncito,6,*,*
272,Colima,El Pitayo,6,*,*
273,Colima,Emmanuel,1,*,*
274,Colima,La Parota,3,*,*
275,Colima,Martha Torres Mejia,6,*,*
276,Colima,Plan de Parotas,4,*,*
277,Colima,Prados de la Estancia,39,22,17
278,Colima,Ninguno,5,*,*
279,Colima,San Juan,4,*,*
280,Colima,Villa Laureles,3,*,*
284,Comala,Comala,9442,4727,4715
285,Comala,Agosto,197,97,100
286,Comala,La Anilera,2,*,*
287,Comala,La Becerrera,283,151,132
288,Comala,La Caja,717,370,347
289,Comala,Campo Cuatro,56,28,28
290,Comala,Cofradia de Suchitlan,1746,868,878
291,Comala,Los Colomos,222,121,101
292,Comala,Lagunitas,70,37,33
293,Comala,Los Mezcales,34,19,15
294,Comala,Nogueras,304,156,148
295,Comala,Paredes Grandes,14,6,8
296,Comala,El Pedregal,4,*,*
297,Comala,El Remate,103,52,51
298,Comala,El Remudadero,367,193,174
299,Comala,Suchitlan,4450,2297,2153
300,Comala,La Yerbabuena,47,23,24
301,Comala,Zacualpan,1905,919,986
302,Comala,Rancho de Guerrero,5,*,*
303,Comala,Loma Alta (Las Granjas),6,*,*
304,Comala,San Martin de los Pinos,7,*,*
305,Comala,Granadillo,4,*,*
306,Comala,La India (Los Macias),4,*,*
307,Comala,La Nogalera,354,172,182
308,Comala,Laguna Seca,66,36,30
309,Comala,Pintores Uno,46,27,19
310,Comala,La Piedra Rajada (La Aguacatera),11,8,3
311,Comala,La Teresita [Granja],4,*,*
312,Comala,Covechadel,7,*,*
313,Comala,La Maria,7,2,5
314,Comala,Hacienda el Pedregal,6,*,*
315,Comala,Monte Blanco,1,*,*
316,Comala,Los Zapotes,1,*,*
317,Comala,Rancho Blanco,8,*,*
318,Comala,La Mameyera,61,25,36
319,Comala,El Tanque (El Remolingo),3,*,*
